ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00736	99999	UNASSIGNED	CAYEY	PR	9000	UNASSIGNED
00737	99999	UNASSIGNED	CAYEY	PR	9000	UNASSIGNED
00738	99999	UNASSIGNED	FAJARDO	PR	9000	UNASSIGNED
00739	99999	UNASSIGNED	CIDRA	PR	9000	UNASSIGNED
00740	99999	UNASSIGNED	PUERTO REAL	PR	9000	UNASSIGNED
00741	99999	UNASSIGNED	PUNTA SANTIAGO	PR	9000	UNASSIGNED
00742	99999	UNASSIGNED	ROOSEVELT ROADS	PR	9000	UNASSIGNED
00744	99999	UNASSIGNED	RIO BLANCO	PR	9000	UNASSIGNED
00745	99999	UNASSIGNED	RIO GRANDE	PR	9000	UNASSIGNED
00751	99999	UNASSIGNED	SALINAS	PR	9000	UNASSIGNED
00754	99999	UNASSIGNED	SAN LORENZO	PR	9000	UNASSIGNED
00757	99999	UNASSIGNED	SANTA ISABEL	PR	9000	UNASSIGNED
00765	99999	UNASSIGNED	VIEQUES	PR	9000	UNASSIGNED
00766	99999	UNASSIGNED	VILLALBA	PR	9000	UNASSIGNED
00767	99999	UNASSIGNED	YABUCOA	PR	9000	UNASSIGNED
00769	99999	UNASSIGNED	COAMO	PR	9000	UNASSIGNED
00771	99999	UNASSIGNED	LAS PIEDRAS	PR	9000	UNASSIGNED
00772	99999	UNASSIGNED	LOIZA	PR	9000	UNASSIGNED
00773	99999	UNASSIGNED	LUQUILLO	PR	9000	UNASSIGNED
00775	99999	UNASSIGNED	CULEBRA	PR	9000	UNASSIGNED
00777	99999	UNASSIGNED	JUNCOS	PR	9000	UNASSIGNED
00778	99999	UNASSIGNED	GURABO	PR	9000	UNASSIGNED
00780	99999	UNASSIGNED	COTO LAUREL	PR	9000	UNASSIGNED
00782	99999	UNASSIGNED	COMERIO	PR	9000	UNASSIGNED
00783	99999	UNASSIGNED	COROZAL	PR	9000	UNASSIGNED
00784	99999	UNASSIGNED	GUAYAMA	PR	9000	UNASSIGNED
00785	99999	UNASSIGNED	GUAYAMA	PR	9000	UNASSIGNED
00786	99999	UNASSIGNED	LA PLATA	PR	9000	UNASSIGNED
00791	99999	UNASSIGNED	HUMACAO	PR	9000	UNASSIGNED
00792	99999	UNASSIGNED	HUMACAO	PR	9000	UNASSIGNED
00794	99999	UNASSIGNED	BARRANQUITAS	PR	9000	UNASSIGNED
00795	99999	UNASSIGNED	JUANA DIAZ	PR	9000	UNASSIGNED
00801	99999	UNASSIGNED	ST THOMAS	VI	9000	UNASSIGNED
00802	99999	UNASSIGNED	ST THOMAS	VI	9000	UNASSIGNED
00803	99999	UNASSIGNED	ST THOMAS	VI	9000	UNASSIGNED
00804	99999	UNASSIGNED	ST THOMAS	VI	9000	UNASSIGNED
00805	99999	UNASSIGNED	ST THOMAS	VI	9000	UNASSIGNED
00820	99999	UNASSIGNED	CHRISTIANSTED	VI	9000	UNASSIGNED
00821	99999	UNASSIGNED	CHRISTIANSTED	VI	9000	UNASSIGNED
00822	99999	UNASSIGNED	CHRISTIANSTED	VI	9000	UNASSIGNED
00823	99999	UNASSIGNED	CHRISTIANSTED	VI	9000	UNASSIGNED
00824	99999	UNASSIGNED	CHRISTIANSTED	VI	9000	UNASSIGNED
00830	99999	UNASSIGNED	ST JOHN	VI	9000	UNASSIGNED
00831	99999	UNASSIGNED	ST JOHN	VI	9000	UNASSIGNED
00840	99999	UNASSIGNED	FREDERIKSTED	VI	9000	UNASSIGNED
00841	99999	UNASSIGNED	FREDERIKSTED	VI	9000	UNASSIGNED
00850	99999	UNASSIGNED	KINGSHILL	VI	9000	UNASSIGNED
00851	99999	UNASSIGNED	KINGSHILL	VI	9000	UNASSIGNED
00901	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00902	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00906	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00907	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00908	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00909	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00910	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00911	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00912	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00913	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00914	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00915	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00916	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00917	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00918	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00919	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00920	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00921	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00922	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00923	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00924	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00925	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00926	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00927	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00928	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00929	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00930	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00931	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00933	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00934	99999	UNASSIGNED	FORT BUCHANAN	PR	9000	UNASSIGNED
00935	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00936	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00937	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00939	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00940	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00949	99999	UNASSIGNED	TOA BAJA	PR	9000	UNASSIGNED
00950	99999	UNASSIGNED	TOA BAJA	PR	9000	UNASSIGNED
00951	99999	UNASSIGNED	TOA BAJA	PR	9000	UNASSIGNED
00952	99999	UNASSIGNED	SABANA SECA	PR	9000	UNASSIGNED
00953	99999	UNASSIGNED	TOA ALTA	PR	9000	UNASSIGNED
00954	99999	UNASSIGNED	TOA ALTA	PR	9000	UNASSIGNED
00955	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00956	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00957	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00958	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00959	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00960	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00961	99999	UNASSIGNED	BAYAMON	PR	9000	UNASSIGNED
00962	99999	UNASSIGNED	CATANO	PR	9000	UNASSIGNED
00963	99999	UNASSIGNED	CATANO	PR	9000	UNASSIGNED
00965	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00966	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00968	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00969	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00970	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00971	99999	UNASSIGNED	GUAYNABO	PR	9000	UNASSIGNED
00975	99999	UNASSIGNED	SAN JUAN	PR	9000	UNASSIGNED
00976	99999	UNASSIGNED	TRUJILLO ALTO	PR	9000	UNASSIGNED
00977	99999	UNASSIGNED	TRUJILLO ALTO	PR	9000	UNASSIGNED
00978	99999	UNASSIGNED	SAINT JUST	PR	9000	UNASSIGNED
00979	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00981	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00982	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00983	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00984	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00985	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00986	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
00987	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
